Country Name,"Country Code","Series Name","Series Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]"
Ghana,"GHA","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4688735005526","14.597518711414","11.900566382732","16.982541773198","","","","","","","","18.1061131001006","18.0096066472924","19.7668200073461","23.7121460055721","23.6884692085609","13.3046887747606","15.6668718626601","15.6941534759169","15.418490672829","16.6915374696386","19.3717131890671","19.3392683497525","14.2262590306295","14.2150318928858","14.5298039024017","14.1589434337656","14.5205312646041","15.0692892914466","14.6948055474354","13.754507358813","14.9263731247694","15.5505506873008","",""
Ghana,"GHA","Revenue, excluding grants (current LCU)","GC.REV.XGRT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23950100","35435900","33355800","65758100","","","","","","","","689312400","879985400","1307727348","1894313786","2303959466","2542797986","3627577730","4736275487","5642796309","7685134390","11587446125","14565440603.9634","17708502795.144","22556980441.2951","26665915602.6276","31092274546.2924","38159660830.2941","46501927374.974","52393486520.4516","53909516990.1797","68914308845.5252","95532670366.5781","",""
Ghana,"GHA","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.834","73.597","72.881","72.076","71.328","70.566","69.843","69.112","67.382","66.813","67.145","67.508","67.912","68.298","68.658","68.993","68.515","68.138","67.65","67.281","67.754","68.164","68.482","66.555","64.54","64.846","65.306","64.565","63.807","62.366","61.912","61.479","61.473","61.138"
Ghana,"GHA","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.7","63.3","","74.834","73","","","","","","61","80.8","66.813","","","","","","67.3","","","","67.073","","","74.481","","64.539","","68.936","","","","55.574","61.76","",""
Ghana,"GHA","GDP (current US$)","NY.GDP.MKTP.CD","1217230094.97205","1302674324.88378","1382515654.47343","1540797588.57221","1731296199.52296","2053462968.0426","2126300672.22965","1747187644.9031","1666909517.65205","1962050555.7775","2215028588.45646","2417108577.52739","2112293279.98507","3006766758.43977","2894409937.8882","2810106382.97872","2765254237.28814","3189428571.42857","3662478184.99127","4020227920.22792","4445228215.76763","4222441860.46512","4035994397.7591","4057275132.27513","4412279843.44423","4504306722.68908","5735677433.82683","5074829931.97279","5197765031.64557","5251858439.874","5889106573.46088","6603185267.79643","6416103925.83267","5968922939.37198","5446383726.77047","6464382807.67884","6932991739.37767","6891443192.24985","7482069162.42008","7718109982.26093","4982850662.20851","5314872854.4405","6166197847.85031","7632723555.66221","8881417906.71432","10744568381.4456","20885037596.6963","24827339138.4906","28679383241.0729","26048720005.5233","32197655566.5347","39336668080.559","41271701060.954","62824629066.0408","54783319817.3705","49406010054.2663","56164929304.8754","60405924078.7278","67298914624.3723","68337969247.7067","70043099675.68","79524421861.2743","74263364041.8742","76370396722.154",""
Ghana,"GHA","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","7657874898.30218","7920515043.76203","8245981569.34271","8609297389.77824","8799504964.72635","8919970088.23349","8540131860.98434","8802772006.06631","8835241939.81905","9365902029.41588","10276592945.7795","10812632834.0534","10543651789.2425","10847792302.31","11591139095.7485","10150171684.0036","9791852068.40752","10014529285.3917","10863354338.4971","10590147340.6811","10640100636.0631","10267370787.5571","9556493927.87131","9120360630.36123","9909050150.5747","10413581059.5336","10954999871.3347","11480281037.4044","12126410628.7245","12743144436.3975","13167340507.2804","13862816574.1538","14400613325.4089","15099043151.441","15597311536.1022","16238738334.7768","16986119958.802","17698918267.4937","18530836590.6561","19346192812.3749","20062001962.2277","20864482066.4121","21803383667.389","22937159647.1137","24221640585.236","25650718304.6806","27292341859.0377","28478690589.0047","31084433518.1644","32590314875.062","35164855870.6991","40104506631.6958","43831333975.4151","47036511237.5563","48379986962.9427","49406010054.2663","51072704881.7252","55224351374.4489","58648304058.6438","62465003607.231","62786037290.3279","65973349399.4486","68491885061.4641","70508824388.0172",""
Ghana,"GHA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","3.42967401462874","4.10915860625774","4.40597419943647","2.20932750184639","1.36899886970954","-4.25829036972007","3.07536405007809","0.368860328659636","6.00617496624768","9.72347258708628","5.2161245570606","-2.48765540214929","2.8845841948016","6.85251683220585","-12.4316290214597","-3.53018280627536","2.27410724169957","8.47593560232171","-2.51494141959301","0.471695943172108","-3.50306694696705","-6.92365041055389","-4.56373750458945","8.64756945671597","5.09161727201138","5.19916067974877","4.79489887940781","5.62816876359457","5.08587270013842","3.32881788321653","5.28182639834429","3.87941908037517","4.85000055379412","3.29999973947747","4.11241897162861","4.60246115564627","4.19635744019571","4.70039078427911","4.39999682545296","3.70000008164408","4.00000012807919","4.49999955900331","5.200000133101","5.59999999077445","5.90000381855104","6.39991260618034","4.34681910440079","9.14979893831817","4.84448705175076","7.89971194051621","14.0471235803149","9.2927894063005","7.31252501678145","2.85624016330883","2.12075933817334","3.37346574966936","8.12889488100956","6.20007768127284","6.5077747939152","0.513941670628171","5.07646643533542","3.81750462109567","2.94478583082221",""
Ghana,"GHA","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4367986938714","13.1595956217207","10.7686571823574","13.1492471785336","","","","","","","","17.1929278946802","17.4931112111661","18.4776861347961","21.7521055188451","21.321508315786","12.534618528847","13.8779845463992","13.8959679074555","12.6124615220586","13.3883874032931","14.8657903615734","15.3681810106551","10.671836497112","11.2521859793493","11.6905632099655","11.058329192094","11.5770312754335","12.244241507483","11.9969959057137","11.3404319629261","12.2446867253345","12.2975358062853","",""
Ghana,"GHA","Tax revenue (current LCU)","GC.TAX.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21967700","31945300","30183200","50915200","","","","","","","","654546800","854748400","1222441216","1737730248","2073746956","2395621821","3213370743","4193608293","4615857209","6164294730","8892168867","11574601668.1401","13284043685.0997","17855418191.8526","21455180950.6937","24283493247.3789","30424202726.6001","37784185991.1602","42774600946.089","44447772183.5398","56533098539.9338","75548220646.774","",""
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
